Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,macd,macd_h,macd_s
235.94700263838575,236.69531224247876,232.5646438368613,233.87168884277344,62631300,0.0,0.0,,,,,
234.4703432233226,235.73748508570134,231.80636285277686,234.29075622558594,43234300,0.0,0.0,,,,,
228.9328431112231,230.93832254659503,226.12917896312734,228.3641357421875,57345900,0.0,0.0,,,,,
229.76097042757166,229.92061345724463,221.7690296564846,223.67471313476562,66034600,0.0,0.0,,,,,
224.31328836166992,226.28882140195597,222.77675082247163,223.80442810058594,49151500,0.0,0.0,228.8011444091797,4.915279254555841,,,
226.4983442399413,227.26661302541467,222.58718122432802,223.45523071289062,48201800,0.0,0.0,226.7178527832031,4.76620862118547,,,
223.86429647317826,226.42851135969482,222.1781030613285,224.5028533935547,39960300,0.0,0.0,224.76027221679686,9.695944587421579,,,
223.4951246791964,224.29332459793014,216.64061389677994,218.04742431640625,61777600,0.0,0.0,222.69692993164062,9.291308620091726,,,
218.4365585703147,220.35224458682225,214.13627507494223,216.99981689453125,51391200,0.0,0.0,221.36195068359376,13.038687850858963,,,
218.20707238174316,218.99530033853074,215.52313289555326,217.46875,41601300,0.0,0.0,220.09481506347657,16.187318096460388,,,
216.47100932714253,218.80573164190093,215.26372979848315,217.7481231689453,36311800,0.0,0.0,218.9533935546875,19.313212463715317,,,
218.6959746261333,219.8334045947242,215.63288672795753,218.30685424804688,41643800,0.0,0.0,217.71419372558594,14.83571392694894,,,
220.94091084366266,223.3155515626994,220.13273889458495,221.5794677734375,50036300,0.0,0.0,218.42060241699218,81.38334219117759,,,
223.86429233538576,223.9740450176905,216.53086747941563,217.8678436279297,62501000,0.0,0.0,218.59420776367188,55.23457930681645,,,
218.65604975341137,225.0915242198944,217.21930817086155,219.3644561767578,105568600,0.0,0.0,218.97334899902344,60.171238540297054,,,
198.64127617987643,213.0188017705649,195.55824424838744,208.79833984375,119548600,0.0,0.0,217.1833923339844,27.175555052265636,,,
204.83728149035767,209.51671322927783,200.6168196653937,206.76292419433594,69660500,0.0,0.0,214.87460632324218,22.621855673087722,,,
206.43367474426563,213.15848935419993,205.9248296826355,209.34710693359375,63516400,0.0,0.0,212.42813415527343,20.009831370301484,,,
212.6296774525561,213.71721707569145,208.35932525259923,212.8292236328125,47161100,0.0,0.0,211.42041015625,37.50617670717376,,,
211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,0.0,0.0,210.698046875,41.635924704099786,,,
215.83255236617862,219.26875909808805,215.36306766380915,217.2909393310547,38028100,0.25,0.0,212.39656677246094,83.798886752648,,,
218.76929897291208,221.646138683676,218.76929897291208,221.02682495117188,44155300,0.0,0.0,215.2493469238281,100.0,,,
220.3276035510778,222.7848915052682,219.45854930599305,221.47633361816406,41960600,0.0,0.0,217.6751922607422,100.0,,,
224.35317447515422,225.10235023777113,222.5151850202656,224.47303771972656,46414000,0.0,0.0,220.003955078125,100.0,,,
223.67391069385005,226.5807162697698,223.40420315535758,225.80157470703125,44340200,0.0,0.0,222.01374206542968,100.0,,,
225.4719428035102,225.74165035068273,222.79488010428776,225.64175415039062,40687800,0.0,0.0,223.68390502929688,98.15672257742064,-0.977216654972608,,
225.52188562847152,226.92034094772856,225.20222998863,226.2610626220703,30299000,0.0,0.0,224.73075256347656,97.1223614549191,-0.45080350825662663,,
226.2710625686077,227.7294495174454,224.80267685471037,226.15118408203125,34765500,0.0,0.0,225.66572265625,94.82765179781167,-0.041999433445141676,,
227.53966079897057,228.08905941841815,223.65393636981634,224.2832489013672,43695300,0.0,0.0,225.6277648925781,47.67727622448141,0.12975821113704455,,
225.41200238324527,227.96918649391685,224.0834622297127,226.5906982421875,38677300,0.0,0.0,225.78558959960938,57.79090087375715,0.4469174731271437,,
226.5107917661563,227.03022456881217,223.64395069142014,226.93032836914062,30602200,0.0,0.0,226.04330444335938,62.28570430977293,0.7174039993648762,,
225.75162066501636,228.5984945445466,224.64283997153836,227.77938842773438,35934600,0.0,0.0,226.3469696044922,63.86864060701174,0.9888793850017521,,
227.6695099550691,229.6073802985885,225.4319662685897,226.2410888671875,38052200,0.0,0.0,226.36495056152344,50.651259854008146,1.0675911394599495,,
229.8471324488683,232.66402541964027,228.62847197635801,229.53746032714844,51906300,0.0,0.0,227.4157928466797,81.53481522726607,1.3800520192236547,0.8731327871943771,0.5069192320292776
229.93703146120657,230.14679214282077,227.23000295250677,228.7483367919922,52990800,0.0,0.0,227.84732055664062,65.8359147342557,1.5461804376674024,0.8314089645104998,0.7147714731569026
228.29882348382426,228.74832587928796,220.92692932694945,222.52517700195312,50190600,0.0,0.0,226.96629028320314,32.65143994442616,1.1622833413718467,0.3580094945719553,0.8042738467998914
221.4164072047842,221.53627045160738,217.24099295020864,220.6072998046875,43840200,0.0,0.0,225.53187255859376,23.947779162214047,0.6952708161006456,-0.08720242455939675,0.7824732406600423
221.38642912323468,225.23218875186365,221.2765494057299,222.13560485839844,36615400,0.0,0.0,224.71077575683594,35.076217195433514,0.4433705704879003,-0.2712821361377137,0.714652706625614
223.7038813850335,224.99247224215048,219.5284824188554,220.57733154296875,48423000,0.0,0.0,222.91875,12.718134824241389,0.1166534688996137,-0.47839939018080024,0.5950528590804139
220.57732363843863,221.0268260349447,216.47183996524672,220.66722106933594,67180000,0.0,0.0,221.30252685546876,14.298156677057165,-0.13348017803511425,-0.5828264296924226,0.44934625165730835
